,Type,Expiry,Strike,PV,Bid,Mid,Ask,Diff,BadDiff
206,call,24/01/2020,1610,0.009299592,0,0.55,1.1,0.540700408,0
207,call,24/01/2020,1612.5,0.007414018,0,0.55,1.1,0.542585982,0
208,call,24/01/2020,1615,0.005528444,0,0.5,1,0.494471556,0
209,call,24/01/2020,1617.5,0.003946199,0,0.475,0.95,0.471053801,0
210,call,24/01/2020,1620,0.00357727,0,0.525,1.05,0.52142273,0
211,call,24/01/2020,1622.5,0.003208341,0,0.475,0.95,0.471791659,0
212,call,24/01/2020,1625,0.002839411,0,0.45,0.9,0.447160589,0
213,call,24/01/2020,1627.5,0.002470482,0,0.425,0.85,0.422529518,0
214,call,24/01/2020,1630,0.002101552,0,0.4,0.8,0.397898448,0
215,call,24/01/2020,1632.5,0.001732623,0,0.4,0.8,0.398267377,0
216,call,24/01/2020,1635,0.001363694,0,0.425,0.85,0.423636306,0
217,call,24/01/2020,1637.5,0.000994764,0,0.4,0.8,0.399005236,0
218,call,24/01/2020,1640,0.000691513,0,0.4,0.8,0.399308487,0
219,call,24/01/2020,1642.5,0.000625714,0,0.45,0.9,0.449374286,0
220,call,24/01/2020,1645,0.000559915,0,0.425,0.85,0.424440085,0
221,call,24/01/2020,1647.5,0.000494116,0,0.45,0.9,0.449505884,0
222,call,24/01/2020,1650,0.000428317,0,0.375,0.75,0.374571683,0
223,call,24/01/2020,1652.5,0.000362518,0,0.425,0.85,0.424637482,0
224,call,24/01/2020,1655,0.000296719,0,0.45,0.9,0.449703281,0
225,call,24/01/2020,1657.5,0.00023092,0,0.35,0.7,0.34976908,0
226,call,24/01/2020,1660,0.000165122,0,0.45,0.9,0.449834878,0
227,call,24/01/2020,1662.5,0.000112149,0,0.35,0.7,0.349887851,0
228,call,24/01/2020,1665,0.000101321,0,0.375,0.75,0.374898679,0
229,call,24/01/2020,1667.5,9.05E-05,0,0.45,0.9,0.449909507,0
230,call,24/01/2020,1670,7.97E-05,0,0.425,0.85,0.424920335,0
231,call,24/01/2020,1672.5,6.88E-05,0,2.4,4.8,2.399931163,0
232,call,24/01/2020,1675,5.80E-05,0,0.425,0.85,0.424941991,0
233,call,24/01/2020,1677.5,4.72E-05,0,0.425,0.85,0.424952819,0
234,call,24/01/2020,1680,3.64E-05,0,0.925,1.85,0.924963647,0
235,call,24/01/2020,1682.5,2.55E-05,0,0.425,0.85,0.424974475,0
