,Type,Expiry,Strike,PV,Bid,Mid,Ask,Diff,BadDiff
107,put,2020-01-24,1362.5,0.0011257446900101128,0.0,0.025,0.05,0.02387425530998989,0
108,put,2020-01-24,1365.0,0.00128804812533113,0.0,0.15,0.3,0.14871195187466887,0
109,put,2020-01-24,1367.5,0.001450363257162236,0.0,0.375,0.75,0.37354963674283775,0
110,put,2020-01-24,1370.0,0.0016337646473702234,0.0,0.35,0.7,0.3483662353526297,0
111,put,2020-01-24,1372.5,0.0030554032085452682,0.0,0.075,0.15,0.07194459679145473,0
112,put,2020-01-24,1375.0,0.004477045603653578,0.0,0.375,0.75,0.3705229543963464,0
113,put,2020-01-24,1377.5,0.005898693147039816,0.0,0.375,0.75,0.36910130685296016,0
114,put,2020-01-24,1380.0,0.00732034812148794,0.05,0.15,0.25,0.14267965187851206,-0.04267965187851206
115,put,2020-01-24,1382.5,0.008742015829592,0.0,0.375,0.75,0.366257984170408,0
116,put,2020-01-24,1385.0,0.010163707093639642,0.0,0.1,0.2,0.08983629290636036,0
117,put,2020-01-24,1387.5,0.011585449311016769,0.0,0.175,0.35,0.16341455068898322,0
118,put,2020-01-24,1390.0,0.013007324770297405,0.05,0.15,0.25,0.1369926752297026,-0.0369926752297026
119,put,2020-01-24,1392.5,0.014723429624105024,0.0,0.375,0.75,0.360276570375895,0
120,put,2020-01-24,1395.0,0.024944796084234593,0.0,0.375,0.75,0.3500552039157654,0
121,put,2020-01-24,1397.5,0.03516619224626703,0.0,0.25,0.5,0.21483380775373295,0
122,put,2020-01-24,1400.0,0.0453876331289416,0.05,0.175,0.3,0.1296123668710584,-0.004612366871058406
123,put,2020-01-24,1402.5,0.055609145926273605,0.0,0.275,0.55,0.2193908540737264,0
124,put,2020-01-24,1405.0,0.0658307755065163,0.0,0.275,0.55,0.20916922449348374,0
125,put,2020-01-24,1407.5,0.07605261732555538,0.0,0.4,0.8,0.3239473826744447,0
126,put,2020-01-24,1410.0,0.08627492212064627,0.1,0.22499999999999998,0.35,0.1387250778793537,-0.013725077879353731
127,put,2020-01-24,1412.5,0.09649848639808638,0.0,0.15,0.3,0.05350151360191362,0
128,put,2020-01-24,1415.0,0.10914557181331738,0.0,0.15,0.3,0.04085442818668261,0
129,put,2020-01-24,1417.5,0.16769401388866628,0.0,0.2,0.4,0.03230598611133373,0
130,put,2020-01-24,1420.0,0.2262427103657171,0.05,0.19999999999999998,0.35,0.026242710365717126,0
131,put,2020-01-24,1422.5,0.2847917713107605,0.0,0.45,0.9,0.1652082286892395,0
132,put,2020-01-24,1425.0,0.34334138050965096,0.05,0.19999999999999998,0.35,0.14334138050965098,0
133,put,2020-01-24,1427.5,0.4018918662401404,0.0,0.2,0.4,0.20189186624014038,0.0018918662401403719
134,put,2020-01-24,1430.0,0.4604439672460515,0.1,0.25,0.4,0.21044396724605152,0.0604439672460515
135,put,2020-01-24,1432.5,0.5189995448403031,0.1,0.3,0.5,0.2189995448403031,0.018999544840303084
136,put,2020-01-24,1435.0,0.5775647902118929,0.35,0.45,0.55,0.12756479021189288,0.027564790211892842
137,put,2020-01-24,1437.5,0.6493667427437209,0.15,0.4,0.65,0.24936674274372084,0
138,put,2020-01-24,1440.0,0.9057651871512544,0.5,0.6,0.7,0.30576518715125445,0.20576518715125447
139,put,2020-01-24,1442.5,1.1621654277456652,0.4,0.6000000000000001,0.8,0.5621654277456651,0.3621654277456652
140,put,2020-01-24,1445.0,1.418568224536627,0.55,0.75,0.95,0.6685682245366269,0.46856822453662694
141,put,2020-01-24,1447.5,1.6749744088819238,0.7,0.9,1.1,0.7749744088819238,0.5749744088819237
142,put,2020-01-24,1450.0,1.9313864577961863,1.0,1.125,1.25,0.8063864577961863,0.6813864577961863
143,put,2020-01-24,1452.5,2.187808464937335,1.15,1.35,1.55,0.8378084649373347,0.6378084649373348
144,put,2020-01-24,1455.0,2.4442520054901617,1.45,1.625,1.8,0.8192520054901617,0.6442520054901617
145,put,2020-01-24,1457.5,2.700755468358863,1.75,1.975,2.2,0.7257554683588627,0.5007554683588626
146,put,2020-01-24,1460.0,3.005747848244455,2.15,2.4,2.65,0.6057478482444552,0.35574784824445516
147,put,2020-01-24,1462.5,3.840971434054746,2.7,2.95,3.2,0.8909714340547459,0.6409714340547459
